"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","889","Отправка пустого списка книг в теле запроса","","Tue Jul 01 08:28:51 GMT 2025","passed","Tue Jul 01 08:28:52 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","2790","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 08:28:58 GMT 2025","passed","Tue Jul 01 08:29:01 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","5934","Удаление всех книг из профиля пользователя","","Tue Jul 01 08:29:12 GMT 2025","passed","Tue Jul 01 08:29:18 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","1811","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 08:28:56 GMT 2025","passed","Tue Jul 01 08:28:58 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","3119","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 08:29:23 GMT 2025","passed","Tue Jul 01 08:29:26 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","6602","Добавлены книги: Programming JavaScript Applications, Designing Evolvable Web APIs with ASP.NET, Understanding ECMAScript 6, Eloquent JavaScript, Second Edition","","Tue Jul 01 08:29:01 GMT 2025","passed","Tue Jul 01 08:29:07 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","1337","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 08:28:55 GMT 2025","passed","Tue Jul 01 08:28:56 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","4546","Успешная авторизация через UI","","Tue Jul 01 08:29:18 GMT 2025","passed","Tue Jul 01 08:29:23 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","2815","Повторное добавление книги в профиль пользователя","","Tue Jul 01 08:28:52 GMT 2025","passed","Tue Jul 01 08:28:55 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","4830","Добавлена книга: Designing Evolvable Web APIs with ASP.NET","","Tue Jul 01 08:29:07 GMT 2025","passed","Tue Jul 01 08:29:12 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","3643","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 08:28:47 GMT 2025","passed","Tue Jul 01 08:28:51 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 08:29:18 GMT 2025","skipped","Tue Jul 01 08:29:18 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
